reep_id,key_wikidata,name,country,key_transfermarkt,key_fbref,key_opta,key_opta_numeric,key_fotmob
reep_lde37af53,Q1032086,Canadian Championship,,,,552,,9837
reep_l0abd55a1,Q25000566,Canadian Premier League,,,211,6lkj3o21cr4g7bql6tb3fk222,,
reep_l2f7dcd96,Q1033349,Categoría Primera A,,,41,,,
reep_lb0d8d57d,Q23925620,Challenger Pro League,,,69,af79lqrc0ntom74zq13ccjslo,,
reep_l6bbcd589,Q606832,Chilean Primera División,,,35,,,
reep_lbe62673d,Q209318,Chinese Super League,,,62,,,
reep_ld4775746,Q178750,Copa América,,COPA,685,128,,44
reep_l0593c758,Q568793,Copa América Femenina,,,158,,,10368
reep_l957834c1,Q130272380,Copa Coca-Cola secondary schools tournament (Uganda),,,,,,
reep_l9d90b1ca,Q184795,Copa Libertadores,,CLI,14,420,,45
reep_ldde3f606,Q60585,Copa Sudamericana,,,205,,,299
reep_la96cdb25,Q105071625,Copa de la Liga Profesional,,,905,,,10007
reep_lc3c665d8,Q483794,Copa del Rey,,,569,,,138
reep_l47ebff07,Q169918,Coppa Italia,,,529,,,141
reep_l03c3235b,Q212412,Coupe de France,,,518,361,,134
reep_l0becf968,Q476539,Coupe de la Ligue,,,693,362,,
reep_l0077ca9a,Q162604,Croatian Football League,,,63,1b70m6qtxrp75b4vtk8hxh8c3,,252
reep_l736a5eba,Q217016,Czech First League,,,66,bu1l7ckihyr0errxw61p0m05,,
reep_le92f4144,Q150880,DFB-Pokal,,DFB,521,231,,209
reep_l01e72ea4,Q1158138,Damallsvenskan,,,187,,,9089
reep_lba72483a,Q204752,Danish Superliga,,,50,29actv1ohj8r10kd9hu0jnb0n,,46
reep_l5bdd9936,Q19510,EFL Championship,,,10,10,,48
reep_l3ecd3541,Q11152,EFL Cup,,,690,2,,133
reep_l4a72f141,Q19565,EFL League One,,,15,11,,108
reep_l00595a87,Q48837,EFL League Two,,,16,12,,109
reep_l25bb13e0,Q843159,EFL Trophy,,,,7,,142
reep_l2cf8bed4,Q2289847,Ecuador Serie A,,,58,,,
reep_lb508a7d5,Q610823,Eerste Divisie,,,51,1gwajyt0pk2jm5fx5mu36v114,,111
reep_lc46c3862,Q44763,Ekstraklasa,,,36,7hl0svs2hg225i2zud0g3xzp2,,196
reep_la4c03fe3,Q201671,Eliteserien,,,28,7r1f93t6ddrsa5n8v1nq6qlzm,,59
reep_lfe2d9011,Q167541,Eredivisie,,NL1,23,akmkihra9ruad09ljapsm84b3,,57
reep_lf5472bfe,Q106548888,European Super League,,,,,,
reep_ld2a254eb,Q189188,FA Community Shield,,,602,,,247
reep_l0dd84076,Q11151,FA Cup,,FAC,514,1,,132
reep_l2bc2c7fa,Q223366,FIFA Club World Cup,,,719,,,78
reep_l8993297c,Q171789,FIFA Confederations Cup,,,666,,,
reep_l0cf9b0bb,Q19323,FIFA Women's World Cup,,,106,408,,76
reep_lcde04a7b,Q135496126,FIFA Women's World Cup qualification (UEFA),,,160,,,
reep_l24d678f2,Q19317,FIFA World Cup,,FIWC,1,4,,77
reep_l72dd59cd,Q5771462,FIFA World Cup qualification (AFC),,,7,,,10197
reep_l9b31938d,Q109423710,FIFA World Cup qualification (CAF),,,2,,,10196
reep_l120395ac,Q5771478,FIFA World Cup qualification (CONCACAF),,,3,,,10198
